Label,Notation,Parent Notation,Sort Priority
Loss of rented accommodation generic,loss-of-rented-accommodation-generic,,0
Private affordability,private-affordability,,1
Private fitness repairs,private-fitness-repairs,,2
Private landlord dispute,private-landlord-dispute,,3
Private property sale,private-property-sale,,4
Private other,private-other,,5
Housing association arrears,housing-association-arrears,,6
Housing association anti social behaviour,housing-association-anti-social-behaviour,,7
Housing association other,housing-association-other,,8
Northern ireland housing executive arrears,northern-ireland-housing-executive-arrears,,9
Northern ireland housing executive other,northern-ireland-housing-executive-other,,10
Total,total,,11
N/A,NA,,12
